fid,category,gewas,gewascode,jaar,status,GDB_GEOMAT,layer,path,z_mean,mergedcrop,Z_DSM_mean,compaction,slope_mean,count_pix,sum,mean
4190,Bouwland,"Tarwe, zomer-",234,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.872275655,2.940510129,-0.872275655,3.422222222,0.45958767,7330,7940.418255,1.083276706
4192,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.433917441,8.625574783,0.433917441,4,1.270733864,21561,-3989.398876,-0.185028472
4193,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.515349534,2.256679297,-0.515349534,4,0.392345887,5639,4095.885107,0.726349549
4195,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.291942486,17.72414674,0.291942486,22.88421053,0.300664382,44310,-3586.514777,-0.08094143
4196,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.270271018,13.87733162,0.270271018,6.837606838,0.235871669,34649,-2053.681532,-0.059271019
4197,Bouwland,"Tarwe, zomer-",234,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.784496317,5.39068318,-1.784496317,3.6,0.302392675,13487,26913.62634,1.995523567
4200,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.834977363,11.30684551,-0.834977363,3,0.263082665,28267,29566.76128,1.045981578
4201,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.489324607,8.890731826,-1.489324607,3.704225352,0.461852766,22221,37789.14601,1.700605104
4202,Bouwland,"Tarwe, zomer-",234,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.628842719,0.359839934,-0.628842719,3,0.577267339,899,760.8404234,0.846318602
4203,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.572488974,7.48287668,-0.572488974,3.883333333,1.255074954,18707,19993.10758,1.068750071
4204,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.297456821,3.27759445,-0.297456821,3.288461538,0.41184696,8192,4202.767931,0.513033195
4205,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.071341292,26.32920703,-0.071341292,3.32464455,0.323149949,65815,18583.81642,0.282364452
4206,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.111242595,15.53134141,-0.111242595,4,0.291969009,38820,12509.52401,0.322244307
4207,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.416967746,1.566400446,-0.416967746,3.88,0.492426262,3913,2459.283935,0.628490656
4208,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.506822748,6.291441619,-0.506822748,4,0.297548146,15729,11291.1674,0.71785666
4209,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.806260535,6.62190672,-0.806260535,3.627272727,0.614878047,16539,16824.57129,1.017266539
4210,Bouwland,"Tarwe, winter-",233,,Definitief,,Wheat - Tarwe All seasons — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Wheat - Tarwe All seasons.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.049848408,4.151245687,-0.049848408,3.701492537,0.325577519,10382,2708.128688,0.260848458
